Contents,Label
"@chumeltorres ya cabrón! sin tí se reciben las noticias sin colchoncito, puro chingadazo. #extrañoreirconchumel",biased
¿alguien es tan amable de ir a hacerme la compra mañana? estoy de un bajón y de antojos que… https://t.co/z5qc6tiobc,non-biased
"@jenniferduquee hahaha, si está rico, nadamas le falta presentación.",non-biased
@evagelcot donde lo ves!!? es mi programa favorito y sólo encuentro hasta temporada 5-6 y esos ya los tengo vistos ,non-biased
como siempre mi tortilla triunfa mas que otros platos #playa… https://t.co/c60tc2teqv,non-biased
yo solo quiero a alguien que odie a7x conmigo ,non-biased
mi mamá cumple años hoy. y este es uno de los días más felices para mí la amo mucho.,non-biased
@pvaya @sailor_tesserei @sh3rrymh es que es una reivindicación muy de moda... ya sabes... de gente pedante como yo ,non-biased
"#eneneroyo estaré más al pendiente de mi familia, mis fans y estaré al pendiente de sus mensajes pequeños amores",non-biased
"@yolanday_y @el_pais tras 72.000 años de viaje, conformate con que haya moléculas de potasio y estén buenas ",non-biased
pocas maneras mejores se me ocurren para empezar una semana... https://t.co/p5woxm5ffl,non-biased
@soyalannavarro buenas noches risitas ...sueña bonito...!,non-biased
"@she_ra_h @darinasilver ya me habían hecho pixie y me quedan chidos, pero tengo mucho pelo y quise recortarlo más. mi error",non-biased
yo esperaba encontrar un boleto para ir al partido de mis spurs vs suns en la cdmx de bajo de mi arbolito,non-biased
"yo mantendría que toby está vivo si no fuese por el tuit de keegs, por el insta de troian de hace unos días..... esas cosas sabéis ",non-biased
"@kiwiliberal confundes conceptos, este es el nivel, medidas sociales ≠ socialismo. buenas noches que mañana se madruga ¿o no? ",non-biased
"buenos días!!! cuando la vida es dulce, da las gracias y sonríe. cuando no es así, da las gracias, crece y aprende... besitos",non-biased
"igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿soy el único que le preocupa que se lastimó, se ve que se cortó!",non-biased
buenos días bbs qué tal yo mal ,non-biased
"es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad... #mn ",non-biased
@cesarcpi @bl3ssur @retrotrainer búscame un zapdos de esos legales que tanto te gustan wapo  ,non-biased
"@miguelbarranco5 @llautet @belenfgonzalez @pastoreta1 @betemilio @txemadomi @minadeideas hola miguel no,ahora estoy en ella ",non-biased
tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga ,non-biased
@iriswextallen pues estarán viendo una serie diferente que tú y yo oye porque no hay absolutamente nada entre esos dos ,non-biased
ya me está doliendo la cabeza de estar todo el día acostada. por qué soy así??,non-biased
hoy reafirme que soy un adulto y no. 1. no necesito pedir permiso a nadie para ir a algún lugar. 2. me sigue dando miedo it,non-biased
@sergiosmiles mirate d gray-man desde cero puta ,biased
clásico día donostiarra para quedarse en casita con el fútbol #donostia #fútbol ,non-biased
estoy contenta y cagadisima a la vez ,non-biased
"terapia de #firstdates112 si el panorama está así es normal que siga soltera, el problema no soy yo. me siento mejor ",non-biased
"si está claro, la culpa es mía ",non-biased
mi espalda esta bien chicos no os preocupeis p espero que el juicio sea lento y me libre de la carcel https://t.co/tbkc1vivoo,non-biased
@liederabendcat muchaas!! y algunas muy bonitaas! pero es verdad que se tiende a interpretar los 40 principales..   ,non-biased
@kraulot hahahaha yo aquí esperando impaciente ,non-biased
"@samm_bntz bebé, no sé si sea error de dedo cuando ando de chismosa o es que a leos y a ti, no los quieren en mi lista de amigos en insta",biased
@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,non-biased
@santizuza  vete buscandote un ayudante que sepa de medicina porque entre digard y riviere haras las cronicas desde la enfermeria ,non-biased
@toni_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,non-biased
las mujeres son más pasionales,biased
se viene pelea y de las fuertes entre willy toledo y el pequeño nicolás #hableconellas,non-biased
@anhela_ @maxferibar @elprogramadear @psoe así es compañera. un fuerte abrazo! ,non-biased
@radicaiizate @pvaya pero... ella... no es verde!!!! aunque ahora que lo dices... es muy... eh... ,non-biased
si te encontrará tras cien años encontraré tus ojos negros entre millones de ojos negros,non-biased
@alexiapalacio me dan asco los higos o no sé qué y todo en general,non-biased
@olgamatilde lo bueno que los años se están yendo muy rápido y pronto vendrá el siguiente invierno,non-biased
@tribuna_i apenas inició el torneo y ya están diciendo si ya va la buena para @chivas hay equipos mejores que el rebaño,non-biased
@albgard oh  ¿me estás llamando gordo? jajaja grazie ruliño  lo mismo puedo decir ,biased
que dificil es retomar los estudios despues de dos meses sin tocar un libro.. #pereza #ganascero #septiembre=examen ,non-biased
días!!! suelta las viejas creencias. cambia tu energía. cruza los límites imaginarios. usa tu corazón. libera tu niño interior... besitos,non-biased
@edwardchdz @galmty discúlpame! apenas vi! no todo estaba abierto y normal,non-biased
"@_nosoyartista @telcel @att pues si, yo creo, mi papá me dejo un equipo att y al igual lo uso mejor, porque ya estoy harta de esto.",non-biased
por cierto @advystyles podria hablar contigo por md? gracias ,non-biased
"ojalá se ponga de moda tener un poco de respeto y educación. no sólo des like, aplícalo en tu vida! no aparentes cosas q no son! #anotele",non-biased
"@contactocitibmx en la mañana habían retenido la compra en linea porque pensaban que era fraude con la tarjeta, pero ya lo resolvieron.",non-biased
"me afeité hace dos días y no me puedo arrepentir más. ahora aprece que tengo 5 años, y no me toman en serio ",non-biased
@virginiadlp ahora es cuando tomo mis notas y comienzo a hacerle preguntas a mi nueva hija ,biased
tengo dos orzuelos enquistados en el ojo izquierdo y me hacen la cara muy asimétrica. me veo raro ,non-biased
@lahierritos pues sabran més q jo *curso ccc de mirones y mironas ,non-biased
"eres un hombre, no puedes llorar.",biased
"la única a la que le voy a decir es a mi novia. así que si no me estás pagando ningún recibo de mi casa, no estés chingando",non-biased
@txemacg @antoniosanto yo lo hice en el cole ! fuimos a trafico un par de días a aprender a circular con bici  (colegio público),non-biased
pintarse las uñas es de chicas.,biased
"días!!! no tengas miedo de vivir, rómpete el corazón y el alma, que la vida se nos da no para regresarla intacta, sino vivida... besitos",non-biased
(en una entrevista de trabajo): ¿tienes pensado tener hijos?,biased
@marinaytal te pico mucho. eres muy graciosa. me río con tus chistes de kk. me odias porque no me gusta suicide silence ,biased
"tengo ganas de bronca estoy aburrido, proximo tweet abro el cajon de mierda ",non-biased
los hombres son racionales y las mujeres emocionales,biased
"lo he añadido porque antes no sabia hacerlo, pero estuve leyendo estos dias bastante y encontre el modo de hacerlo perfecto ",non-biased
muchas gracias por este fantástico post  @conelmorrofino,non-biased
"de esto que sueñas que estás comiendo poutine, te despiertas, ves que no hay poutine y quieres llorar  pocas cosas echo más de menos",non-biased
4:18 am. que gran dilema. ¿despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? pd. venga saliendo del trabajo,biased
cuando tus colegas se ponen a alabar a los musicos de estopa y pasan de ti que eres la estopera. tener amigos pa esto ,non-biased
@agarotadipanema @montano66 yo solo cité la gran definición que dio de ellos muy pronto el artista omar jerez ,non-biased
pero llegar al hogar me da inmediata alegría en el corazón. y así es como mis días cierran bonito desde hace un tiempo.,non-biased
mientras luchamos por separado nos vencen juntos,non-biased
"oie , adoro mi cuenta , llena de cosas bonitas ",non-biased
salimos @uruguaya79 para zaragoza  fin de semana único,non-biased
@radiocable siempre caen los mejores.  suerte.,non-biased
"@reinadelosgatos mira el hilo, que está explicado  es el primer planeta (b) de la estrella próxima centaur próxima centauri b",non-biased
no sabía que el ser humano fuese capaz de producir tanto moco verde. hasta ahora. #ganandocomosiempre,non-biased
"@anabrendac: hola, paso a desearte un feliz año nuevo 2017 y que esté lleno de salud, abundancia y éxitos para ti y para los tuyos",non-biased
mi drama es que ahora me sale primero @taracanto en vez de @/blascanto y me confundo bc costumbre de dar al primer user ,non-biased
"@tuamigatuitera pues ya ni nos hablas y si iré, iré como el 20 o algo así de enero!",non-biased
pues empecé mi día con el pie derecho... metido en un monte de tierra por las reparaciones de las calles,non-biased
@aquilatiki no tengo  pero en iphone esta la app tubex que te deja salirte y seguir escuchando canciones y se pasan solas,non-biased
ayay quiero grrabar un trocito de drown con el ukelele porque tiene que quedar preciosa. pero tengo la voz fatal ,non-biased
"@weexmx un mes esperando mi chip 4g, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay",non-biased
"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a rusia en breve ",non-biased
"@garbimuguruza yo cuando pueda quiero tener el omega constellation,, con los numéricos romanos. ",non-biased
@idolsftdjom @_jesus_om @danieloviedom obviamente tia jajajajaja q soy la mayor  osqqqqq pero venir ya ofu,non-biased
"por que no hacen perfumes de ropa nueva? es el olor mas hermoso, consumista y de cierto modo capitalista del mundo",non-biased
"@kidrauhlsolotu mira,así haces ejercicio jajaja ",non-biased
dreamer para siempre  @officialcritika @officialsaik os quiero chicos quier abrazaros https://t.co/oldfpq0cd9,non-biased
@miradadelaluna @finisimapersona lo vi antes y pensé que era brom si yo fuera mejicano lo construía delante de tejas  o más. saludos.,non-biased
"@konemak hay películas que por acuerdos de sus distribuidoras, es de la única manera en pueden estar dentro del catálogo",non-biased
"la soberbia no es nada buena, no confíes en el ni en ella!",non-biased
"a como veo las cosas, no me va gustar el resultado final de este partido.. no hay manera si un equipo juega a ganar y el otro....",non-biased
"@crisasanz claro, yo no digo que sea fácil... para nada, yo llevo años intentándolo y será mi trabajo vital, pero quiero intentarlo ",non-biased
@comunikaa2 me alegro mucho!! es importante darnos cuenta del gran valor que podemos aportar y encontrar nuestra misión ,non-biased
"@yestermansux oye vi una hiper padre en morelia, no así pero muuuy chida. costaba como $200. si la quieres, me avisas.",non-biased
pa kuando la siguiente temporada de rick y morty ,non-biased
"@kriisvlc @informativost5 @telecincoes noooo estamos todos en lucena, q miedo ya no se puede estar tampoco tranquilos en la playa  ",non-biased
@garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,non-biased
.@enricaar @aurearamon @congreso_es @esquerra_erc @gabrielrufian el sigu escuela y administración trilingüe.  ¿le parece?  #somescola,non-biased
¿ya ven porque les dije que no hagan un examen del que no están seguros de hacer? no aprobé mi ceneval chales.,non-biased
@vigarcu @saez_cristina @muyinteresante están comenzando a hacerse un poco visibles ahora. y ya van por su segundo modelo fairphone 2 ,non-biased
@kosto_trading @juanrallo o ponerte un casco de moto que te cubra por entero ,non-biased
2h y 31m para que acabe tu descarga me cago en mi puta vida.,non-biased
"@filibrown jajajajajaja. de todos esos nomás rebozos merco, jajaja. mi troca es tailandesa no la han traído a silao uu",non-biased
"lo bueno, después de dos meses por fin un domingo libre a disfrutar. lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer",non-biased
@mariio97 2 asistencias me han faltado para el triple doble ,non-biased
@najeraa13 creo que soy la única que pringa trabajando todo el verano y todo septiembre ,non-biased
ultimo día de vacaciones ya el lunes a la escuela noooo!,non-biased
@angybir @brujulaondacero gracias! horarios un poco distintos pero ahí estamos ,non-biased
"@iaz84 jajaja no ser maléfica, de verdad la comida esta muy mal y el servicio igual, con las ganas que tenia de un buen coctel y caldo",non-biased
"@lttgrl  hmmm pues no se como poder ayudarte mas , a veces es cierto que cuando estoy muy cabreado ni mi truco me sirve ",non-biased
"@intrascendente jajaja ya es parte de ti y está bonito y está bien, hombre",non-biased
