SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
1,BA (Geography),Environmental studies,UGEVS101,"Local, Regional, National and Global","To make student understand the distribution, utilization, and conservation of natural resources is crucial for sustainable development It involves studying the Earth's renewable and non-renewable resources and their impact on the
environment"
2,BA (Geography),Environmental studies,UGEVS201,"Local, Regional, National and Global","Examining historical and current environmental movements provides insight into societal responses to environmental issues. Environmental management strategies help students understand how to balance development with conservation. Students will gain insights into waste disposal techniques, recycling processes, and the impact of improper waste management on the environment"
3,BA (Geography),Environmental Science-I,UGESlOl,"Local, Regional, National and Global","To make student understand the distribution, utilization, and conservation of natural resources is crucial for sustainable development It involves studying the Earth's renewable and non-renewable resources and their impact on the
environment"
4,BA (Geography),Environmental Science-II,UGES201,"Local, Regional, National and Global","Managing waste is critical for preventing environmental degradation. Students need to understand waste generation, treatment, and disposal methods to contribute to sustainable waste management practices.Students will comprehend the causes and effects of pollution, as well as the regulatory frameworks and policies aimed at environmental conservation."
5,BA (Geography),Fundamentals of Geomorphology,UGGEO101,"Local, Regional, National and Global","These geological processes shape the Earth's surface. Understanding endogenic (internal) and exogenic (external) processes helps in comprehending landforms, earthquakes,
and erosion."
6,BA (Geography),Human Geography,UGGEO201,"Local, Regional, National and Global","Cultural factors influence human-environment interactions. Studying cultural regimes helps students understand how human societies shape and are shaped by the physical environmentStudents will gain insights into rural and urban settlements, population dynamics, and the impact of demographic trends on social and economic structures."
7,BA (Geography),Physical Geography of India,UGGEO302,National,"Understanding drainage patterns and climate is essential for water resource management, agriculture, and predicting natural hazards like floods and droughts.Soils and vegetation are critical components of ecosystems. Knowledge of soil types and natural vegetation is vital for sustainable land use planning and agricultural practices."
8,BA (Geography),Agricultural Geography of India,UGGEO402,National,"In the context of Indian agriculture, these topics address water management, agricultural productivity, and the impact of technological interventions on farming practices."
9,BA (Geography),Geography of Settlements,UGGEO 501,"Local, Regional, National and Global","studying settlement patterns helps in understanding the distribution of populations and the factors influencing rural and urban developmen.Students will gain insights into the factors influencing the development of rural and urban areas, including land use, infrastructure, and socio-economic
aspects."
10,BA (Geography),"Tools and Techniques in Geography for SpatialAnalysis-1
(Practical)",UGGEO 503,"Local, Regional, National and Global","Toposheets aid in map reading and interpretation. Understanding regional development involves analyzing economic, social, and environmental trends in specific
l!eographic areas"
11,BA (Geography),Regional Planning and Development,UGGEO 504,Regional,Understanding Regional Development and planning
12,BA (Geography),Geography of Health,UGGEO 505,"Local, Regional, National and Global","Pollution studies are crucial for addressing environmental degradation. GPS technology is integral for accurate mapping and location-based analysis.Students will explore the geographical aspects of health, including the distribution of diseases, healthcare access, and environmental health factors."
13,BA (Geography),Geography of Tourism and Recreation,UGGEO 602,Local,"Infrastructure planning in tourism is essential for providing sustainable and responsible travel experiences, minimizing negative impacts on local environments."
14,BA (Geography),Tools and Techniques in Geography for Spatial Analysis-II (Practical),UGGEO 603,"Local, Regional, National and Global","Fieldwork in geography involves on-site research and data collection. Studying a specific place or village allows students to apply theoretical concepts in a practical context It includes conducting surveys, interviews, and observations to analyze the  physical, social, and economic aspects of the chosen
location."
15,BA (Geography),Economic Geography,UGGEO604,Local and regional,"These topics relate to economic geography, resource
utilization, and the relationship between industry and the environment"
16,BA (Geography),Biogeography,UGGEO 605,Local and regional,It helps to students about awarness of different marine diversitv and their ecosystem
17,BA (Geography),Research Methodology in Geography (Practical),UGGEO 606,"Local, Regional, National and Global","The preparation of a research report is a critical skill in geography. It involves documenting research findings, analysis, and conclusions in a structured and coherent manner. A well-prepared research report enhances
communication and dissemination of knowledge."
18,BA (Psychology),Fundamentals of Psychology-I,UGPSY101,"Local, Regional, National and Global","Fundamentals of Psychology fosters awareness of mental health issues, reducing stigma, and promoting national mental health  policies."
19,BA (Psychology),Fundamentals of Psychology-II,UGPSY201,"Local, Regional, National and Global","Fundamentals of Psychology fosters awareness of mental health issues, reducing stigma, and promoting national mental health policies."
20,BA (Psychology),Social Psychology,UGPSY301,"Local, Regional, National and Global",In this pape students learn social cognition and learn how we think about the social world
21,BA (Psychology),Social Psychology,UGPSY401,"Local, Regional, National and Global",In this pape students learn groups and social Influence
22,BA (Psychology),Developmental Psychology,UGPSY302,"Local, Regional, National and Global",Biological Beginnings & Prenatal Development
23,BA (Psychology),Developmental Psychology,UGPSY402,"Local, Regional, National and Global",Physical growth in pre-school and middle childhood.
24,BA (Psychology),"Psychological Testing, Research methods and Statistics",UGPSY501,"Local, Regional, National and Global",Assessment of Personality
25,BA (Psychology),"Psychological Testing, Research methods and Statistics",UGPSY601,"Local, Regional, National and Global","Characteristics, Goals, Types of Research and Research Problems."
